oid,expid,hjd,mjd,mag,magerr,catflags,filtercode,ra,dec,chi,sharp,filefracday,field,ccdid,qid,limitmag,magzp,magzprms,clrcoeff,clrcounc,exptime,airmass,programid
686103400034440,270934144,2460463.8436909108,60463.341446799997,17.7659836,0.0298622958,0,zg,298.00254280000001,29.871455999999998,0.799000025,0.0120000001,20240602341447,686,0x3,0x4,20.8199997,26.3991585,0.0196300596,-0.111894131,7.33534534e-06,30,1.20599997,1
686103400034440,271543681,2460469.9393761568,60469.436817100002,17.7723465,0.0299279429,0,zg,298.00254589999997,29.871456599999998,0.873000026,0.0140000004,20240608436701,686,0x3,0x4,21.2199993,26.4194832,0.018252654,-0.0954391733,6.31844659e-06,30,1,1
686103400034440,271742165,2460471.9243114144,60471.421655099999,17.7469025,0.0296675526,0,zg,298.00254649999999,29.8714567,0.275999993,0.0189999994,20240610421597,686,0x3,0x4,21.0599995,26.1469326,0.0269708186,-0.0897751302,1.39733675e-05,30,1.00199997,1
686103400034440,271948141,2460473.984166285,60473.481412000001,17.7536125,0.0297356825,0,zg,298.00257390000002,29.871472199999999,1.43400002,-0.0140000004,20240612481192,686,0x3,0x4,19.8500004,26.4336815,0.0265259817,-0.0983873233,1.34766024e-05,30,1.04100001,1
686103400034440,272940921,2460483.9123940677,60483.409212999999,17.6762276,0.0289729498,0,zg,298.00253520000001,29.871469999999999,0.666999996,-0.00200000009,20240622409190,686,0x3,0x4,20.1599998,26.4620285,0.0208183676,-0.0852848068,8.54871996e-06,30,1.00100005,1
686103400034440,273140457,2460485.9078289405,60485.404571799998,17.681324,0.0290216617,0,zg,298.0025473,29.871447100000001,0.934000015,0.0649999976,20240624404549,686,0x3,0x4,20.3500004,26.4501362,0.0196623057,-0.109748058,7.47781905e-06,30,1.00100005,1
686103400034440,273443664,2460488.9400096214,60488.436643499997,17.6351185,0.0285875741,0,zg,298.00252169999999,29.871477299999999,0.61500001,-0.0160000008,20240627436644,686,0x3,0x4,20.6700001,26.4307041,0.0190047082,-0.0569848381,6.96682037e-06,30,1.03499997,1
686103400034440,273635342,2460490.8568567056,60490.353425900001,17.7018585,0.0292200707,0,zg,298.00253379999998,29.871463299999998,1,0.057,20240629353403,686,0x3,0x4,21.1800003,26.4736919,0.01740578,-0.0807628706,5.7672296e-06,30,1.01100004,1
686103400034440,274041197,2460494.9155357745,60494.411979199998,17.7223282,0.0294213239,0,zg,298.00253479999998,29.8714412,0.860000014,-0.0469999984,20240703411979,686,0x3,0x4,21.2000008,26.4652309,0.0173529424,-0.0884257853,5.7480147e-06,30,1.02400005,1
686103400034440,274634982,2460500.8535385001,60500.349826400001,17.7849159,0.0300586522,0,zg,298.00254480000001,29.871455999999998,1.20899999,-0.00200000009,20240709349826,686,0x3,0x4,21.1399994,26.4350872,0.0188277215,-0.111701258,6.78499964e-06,30,1,1
686103400034440,274840383,2460502.9075887417,60502.403831000003,17.7727089,0.0299316924,0,zg,298.00257979999998,29.871469999999999,1.61600006,0.00300000003,20240711403831,686,0x3,0x4,20.9599991,26.3048401,0.0187327974,-0.109356582,6.74978537e-06,30,1.04299998,1
